wellID, constituentID, mdl, pql, observed, sampleDate
43,0,NULL,NULL,0.000898(J),2017-01-31
43,0,NULL,NULL,n/a,2017-03-20
43,0,NULL,NULL,<0.003*,2017-05-02
43,0,NULL,NULL,n/a,2017-05-02
43,0,NULL,NULL,<0.003*,2017-06-06
43,0,NULL,NULL,n/a,2017-06-06
43,0,NULL,NULL,n/a,2017-09-13
43,0,NULL,NULL,<0.003*,2018-01-23
43,0,NULL,NULL,<0.003*,2018-05-01
43,0,NULL,NULL,<0.003*,2018-11-27
43,0,NULL,NULL,<0.003*,2019-05-29
43,0,NULL,NULL,<0.003*,2019-10-02
43,0,NULL,NULL,<0.003*,2020-03-31
43,0,NULL,NULL,<0.003*,2020-09-09
43,0,NULL,NULL,<0.001015*,2021-05-11
43,0,NULL,NULL,<0.00102*,2021-10-19
43,0,NULL,NULL,<0.00102*,2022-05-31
44,0,NULL,NULL,<0.003*,2016-02-23
44,0,NULL,NULL,<0.003*,2016-04-19
44,0,NULL,NULL,<0.003*,2016-06-07
44,0,NULL,NULL,<0.003*,2016-08-30
44,0,NULL,NULL,<0.003*,2016-10-18
44,0,NULL,NULL,0.000911(J),2017-01-31
44,0,NULL,NULL,n/a,2017-03-20
44,0,NULL,NULL,<0.003*,2017-05-02
44,0,NULL,NULL,n/a,2017-05-02
44,0,NULL,NULL,<0.003*,2017-06-06
44,0,NULL,NULL,n/a,2017-06-06
44,0,NULL,NULL,n/a,2017-09-13
44,0,NULL,NULL,<0.003*,2018-01-23
44,0,NULL,NULL,<0.003*,2018-05-01
44,0,NULL,NULL,<0.003*,2018-11-27
44,0,NULL,NULL,<0.003*,2019-05-29
44,0,NULL,NULL,<0.003*,2019-10-02
44,0,NULL,NULL,<0.003*,2020-03-31
44,0,NULL,NULL,<0.003*,2020-09-09
44,0,NULL,NULL,<0.001015*,2021-05-11
44,0,NULL,NULL,<0.00102*,2021-10-18
44,0,NULL,NULL,<0.00102*,2022-05-31
45,0,NULL,NULL,0.000606(J),2016-02-23
45,0,NULL,NULL,<0.003*,2016-04-19
45,0,NULL,NULL,<0.003*,2016-06-06
